img,pan_prob,pan_action,mean_dist,yol_prob,yol_action
000871,0.392,4,17.28848,0.625,3
001189,0.397,4,0,1.0,9
001062,0.332,4,0,1.0,9
000980,0.327,4,33.7891,0.827,3
001079,0.304,4,0,1.0,9
001097,0.307,4,0,1.0,9
001619,0.195,2,0.66904,0.475,3
001393,0.377,4,0,1.0,9
001120,0.391,4,0,1.0,9
001121,0.303,4,0,1.0,9
001742,0.397,5,1.0,0.389,5
001395,0.246,4,0,1.0,9
001108,0.405,4,0,1.0,9
000153,0.626,2,20.16439,0.663,1
001364,0.347,4,0,1.0,9
000866,0.327,4,20.52429,0.571,3
001542,0.306,5,0,1.0,9
001058,0.332,4,0,1.0,9
001013,0.315,4,0.0,0.474,1
001019,0.346,4,0,1.0,9
001061,0.404,4,0,1.0,9
001390,0.371,4,0,1.0,9
001160,0.343,4,0,1.0,9
000969,0.299,4,17.67291,0.735,5
001330,0.387,4,0,1.0,9
000401,0.249,3,0,1.0,9
000303,0.552,2,0,1.0,9
000823,0.368,4,2.85175,0.522,5
000366,0.52,2,0,1.0,9
000144,0.617,2,35.38609,0.662,1
000202,0.434,2,0,1.0,9
001518,0.3,5,2.94581,0.651,5
000129,0.558,2,4.82701,1.0,1
001673,0.341,5,9.32553,0.448,5
000280,0.471,2,0,1.0,9
001748,0.345,5,8.77901,0.533,5
001334,0.343,4,0,1.0,9
001378,0.358,4,0,1.0,9
001084,0.459,4,0,1.0,9
001312,0.196,4,0,1.0,9
001672,0.341,5,9.32553,0.448,5
001277,0.277,4,7.35859,0.538,5
001513,0.32,6,4.05822,0.503,5
001404,0.225,4,0,1.0,9
001290,0.315,4,2.51617,0.493,5
001596,0.323,5,0,1.0,9
001485,0.252,7,7.602,0.984,5
001258,0.362,4,5.86416,0.522,5
000913,0.377,4,0.0,0.537,5
001174,0.38,4,0,1.0,9
000337,0.56,2,0,1.0,9
000340,0.334,2,1.66208,0.455,1
001268,0.314,4,4.3591,0.514,5
001247,0.336,4,0,1.0,9
001265,0.283,4,0,1.0,9
000341,0.218,2,0,1.0,9
000258,0.542,2,0,1.0,9
000328,0.555,2,0,1.0,9
001010,0.34,4,0,1.0,9
000951,0.271,4,13.61365,0.742,5
001361,0.28,4,0,1.0,9
001192,0.418,4,0,1.0,9
001345,0.342,4,0,1.0,9
000504,0.335,7,2.94114,0.926,7
000560,0.298,5,1.52744,0.502,3
000479,0.345,2,0,1.0,9
001627,0.37,5,0,1.0,9
000389,0.523,2,0,1.0,9
001527,0.273,5,9.61593,0.929,5
000917,0.271,4,18.03318,0.567,3
000335,0.391,2,0,1.0,9
000212,0.542,2,0,1.0,9
001321,0.378,4,0,1.0,9
001239,0.229,4,4.19623,0.745,5
000458,0.391,8,2.77672,0.93,7
000406,0.471,2,0,1.0,9
000367,0.546,2,0,1.0,9
001576,0.329,6,0,1.0,9
001112,0.371,4,0,1.0,9
001738,0.387,5,8.5202,0.478,5
001123,0.376,4,0,1.0,9
001559,0.258,3,0,1.0,9
000876,0.275,4,21.4418,0.744,5
001156,0.394,4,0,1.0,9
000030,0.563,2,21.45037,0.731,1
000121,0.62,2,20.51416,0.994,1
000265,0.497,2,0,1.0,9
000068,0.516,2,0.0,1.0,1
000099,0.607,2,6.50019,0.481,1
000161,0.614,2,40.93212,0.704,1
001341,0.278,4,0,1.0,9
000168,0.615,2,0.0,0.821,1
000222,0.554,2,0,1.0,9
001665,0.249,7,5.17442,0.742,7
000588,0.741,8,0.7264,0.602,7
001085,0.329,4,0,1.0,9
000531,0.247,6,2.21972,0.716,7
000501,0.251,5,1.62001,0.456,7
000425,0.32,6,3.87822,0.537,7
001186,0.376,4,0,1.0,9
001355,0.316,4,0,1.0,9
001172,0.336,4,0,1.0,9
001118,0.313,4,0,1.0,9
001027,0.359,4,0,1.0,9
001226,0.286,3,1.69189,0.427,5
001357,0.394,4,0,1.0,9
000146,0.481,2,26.13548,0.986,1
001296,0.231,4,3.90174,0.538,3
000183,0.555,2,20.55057,0.952,1
001275,0.207,3,7.08426,0.836,5
000224,0.547,2,0,1.0,9
000465,0.682,8,2.60223,0.914,7
001050,0.294,4,0,1.0,9
000085,0.544,2,29.86906,0.991,1
001091,0.212,2,0,1.0,9
000299,0.622,2,0,1.0,9
001445,0.56,2,9.95034,0.634,5
000086,0.55,2,20.67223,0.693,1
001245,0.191,2,6.77625,0.844,5
000200,0.537,2,0,1.0,9
000747,0.254,5,0.48379,0.447,3
000607,0.648,8,0,1.0,9
000464,0.682,8,2.60223,0.914,7
000882,0.303,4,0.0,0.996,5
001684,0.24,3,10.34089,0.513,3
001232,0.317,4,0,1.0,9
001737,0.387,5,8.5202,0.478,5
001526,0.302,5,3.77119,0.996,5
001224,0.256,4,10.73265,0.878,5
001110,0.281,4,0,1.0,9
001103,0.338,4,0,1.0,9
001131,0.272,4,0,1.0,9
000649,0.495,8,0,1.0,9
001634,0.256,3,6.6513,0.935,7
001714,0.241,2,0.14142,0.812,3
000955,0.39,4,0.0,0.385,5
000320,0.229,3,0,1.0,9
000376,0.477,2,0,1.0,9
000739,0.696,8,0,1.0,9
001359,0.221,3,0,1.0,9
000363,0.542,2,0,1.0,9
001726,0.289,5,2.04973,0.776,5
000193,0.525,2,15.67125,0.991,1
001583,0.25,7,0,1.0,9
001205,0.337,4,0.21213,0.391,7
000017,0.53,2,21.87023,0.589,1
000309,0.495,2,0,1.0,9
000381,0.499,2,0,1.0,9
000087,0.55,2,20.67223,0.693,1
000788,0.311,7,0,1.0,9
001574,0.192,3,0,1.0,9
001649,0.204,3,3.81072,0.939,7
000596,0.401,2,5.52445,0.819,7
000795,0.639,8,4.44719,0.588,1
001198,0.404,4,0,1.0,9
001399,0.352,4,0,1.0,9
001669,0.277,3,6.36724,0.897,7
000295,0.37,2,0,1.0,9
000127,0.435,2,25.54918,0.743,1
001591,0.662,2,0,1.0,9
000227,0.562,2,0,1.0,9
000832,0.364,4,0.0,0.464,5
001002,0.328,4,0,1.0,9
000546,0.695,8,5.40632,0.956,7
001191,0.278,4,0,1.0,9
001590,0.662,2,0,1.0,9
001223,0.264,4,0,1.0,9
000154,0.417,2,48.19166,0.73,1
000621,0.272,7,1.87216,0.632,3
001550,0.259,5,0,1.0,9
001461,0.271,7,5.10131,0.862,5
001343,0.346,4,0,1.0,9
001568,0.327,6,0,1.0,9
000175,0.537,2,40.48881,0.942,1
001481,0.337,6,7.42775,0.997,5
001063,0.369,4,0,1.0,9
000667,0.737,8,0,1.0,9
001052,0.345,4,0,1.0,9
001353,0.257,4,0,1.0,9
000333,0.565,2,0,1.0,9
001647,0.298,6,7.92917,0.748,7
001483,0.323,6,6.51247,0.655,5
001610,0.312,5,0,1.0,9
000690,0.433,7,0,1.0,9
001288,0.346,4,5.69126,0.672,5
000135,0.609,2,20.84792,0.676,1
000576,0.578,8,5.96598,0.887,7
000942,0.26,4,0.0,0.423,5
000213,0.542,2,0,1.0,9
000277,0.544,2,0.0,0.39,3
000733,0.551,8,0,1.0,9
000369,0.527,2,0,1.0,9
001667,0.397,7,0.92337,0.438,7
000510,0.468,7,4.08205,0.901,7
000266,0.476,2,0,1.0,9
001615,0.281,7,0,1.0,9
001015,0.412,4,0,1.0,9
001475,0.658,2,0.25,0.63,5
000184,0.555,2,20.55057,0.952,1
001436,0.298,5,0,1.0,9
001617,0.388,5,0,1.0,9
001632,0.322,5,11.08434,0.857,7
001351,0.358,4,0,1.0,9
001697,0.305,5,17.63583,0.604,3
001344,0.268,4,0,1.0,9
001500,0.258,5,7.19341,0.95,5
001067,0.383,4,0,1.0,9
000758,0.289,7,0,1.0,9
000723,0.439,8,4.82241,0.625,3
001325,0.325,4,0,1.0,9
000914,0.286,4,23.31742,0.97,3
000708,0.692,8,0,1.0,9
001347,0.288,4,0,1.0,9
001444,0.261,3,11.32399,0.796,5
000484,0.255,7,0.80943,0.438,3
000419,0.321,6,0.0,0.439,5
001369,0.368,4,0,1.0,9
001094,0.379,4,0,1.0,9
001051,0.408,4,0.0,0.702,1
000710,0.33,2,4.93641,0.712,1
001580,0.343,6,0,1.0,9
001451,0.261,8,5.22015,0.911,5
001553,0.338,5,0,1.0,9
001374,0.255,4,0,1.0,9
000128,0.502,2,29.85041,0.994,1
000732,0.551,8,0,1.0,9
001606,0.316,5,0,1.0,9
001616,0.281,7,0,1.0,9
000062,0.503,2,0.0,0.721,1
001505,0.267,5,5.61039,0.949,5
000031,0.625,2,12.07735,0.567,1
000783,0.3,6,0,1.0,9
000138,0.547,2,33.5825,0.78,1
001271,0.234,4,22.57067,0.672,5
001155,0.259,4,0.0,0.408,3
001588,0.339,5,0,1.0,9
001414,0.237,3,23.36812,0.473,3
000994,0.292,4,13.2571,0.747,3
000455,0.245,5,0.65017,0.445,3
000559,0.301,5,7.89377,0.921,7
001432,0.337,5,4.9335,0.367,5
001540,0.298,5,0,1.0,9
001377,0.208,3,0,1.0,9
000203,0.508,2,0,1.0,9
000358,0.543,2,0.0,0.667,3
000079,0.55,2,0.0,0.456,1
000357,0.543,2,0.0,0.667,3
001661,0.254,5,5.23296,0.664,7
001072,0.394,4,0,1.0,9
000159,0.544,2,36.98007,0.677,1
001531,0.289,5,3.85268,0.9,5
001626,0.281,8,0,1.0,9
001668,0.397,7,0.92337,0.438,7
000141,0.523,2,25.68385,0.858,1
001607,0.408,5,0,1.0,9
000808,0.403,4,14.25839,0.541,3
000343,0.547,2,0,1.0,9
001457,0.355,5,2.63424,0.666,5
000174,0.436,2,7.37987,0.739,1
000968,0.318,4,33.66441,0.818,3
