000871,3
001189,4
001062,4
000980,3
001079,4
001097,4
001619,6
001393,6
001120,4
001121,4
001742,3
001395,6
001108,4
000153,1
001364,6
000866,3
001542,6
001058,4
001013,4
001019,4
001061,4
001390,6
001160,4
000969,3
001330,6
000401,2
000303,2
000823,3
000366,2
000144,1
000202,2
001518,5
000129,1
001673,3
000280,2
001748,3
001334,6
001378,6
001084,4
001312,6
001672,3
001277,5
001513,5
001404,6
001290,5
001596,6
001485,5
001258,5
000913,3
001174,4
000337,2
000340,2
001268,5
001247,5
001265,5
000341,2
000258,2
000328,2
001010,4
000951,3
001361,6
001192,4
001345,6
000504,7
000560,7
000479,7
001627,6
000389,2
001527,5
000917,3
000335,2
000212,2
001321,6
001239,5
000458,7
000406,2
000367,2
001576,6
001112,4
001738,3
001123,4
001559,6
000876,3
001156,4
000030,1
000121,1
000265,2
000068,1
000099,1
000161,1
001341,6
000168,1
000222,2
001665,7
000588,7
001085,4
000531,7
000501,7
000425,7
001186,4
001355,6
001172,4
001118,4
001027,4
001226,5
001357,6
000146,1
001296,5
000183,1
001275,5
000224,2
000465,7
001050,4
000085,1
001091,4
000299,2
001445,5
000086,1
001245,5
000200,2
000747,8
000607,8
000464,7
000882,3
001684,3
001232,5
001737,3
001526,5
001224,5
001110,4
001103,4
001131,4
000649,8
001634,7
001714,3
000955,3
000320,2
000376,2
000739,8
001359,6
000363,2
001726,3
000193,1
001583,6
001205,5
000017,1
000309,2
000381,2
000087,1
000788,8
001574,6
001649,7
000596,7
000795,8
001198,4
001399,6
001669,7
000295,2
000127,1
001591,6
000227,2
000832,3
001002,4
000546,7
001191,4
001590,6
001223,5
000154,1
000621,8
001550,6
001461,5
001343,6
001568,6
000175,1
001481,5
001063,4
000667,8
001052,4
001353,6
000333,2
001647,7
001483,5
001610,6
000690,8
001288,5
000135,1
000576,7
000942,3
000213,2
000277,2
000733,8
000369,2
001667,7
000510,7
000266,2
001615,6
001015,4
001475,5
000184,1
001436,5
001617,6
001632,7
001351,6
001697,3
001344,6
001500,5
001067,4
000758,8
000723,8
001325,6
000914,3
000708,8
001347,6
001444,5
000484,7
000419,7
001369,6
001094,4
001051,4
000710,8
001580,6
001451,5
001553,6
001374,6
000128,1
000732,8
001606,6
001616,6
000062,1
001505,5
000031,1
